week,customer_ID,day
1,15,4
1,1,3
1,4,2
1,20,1
1,17,5
1,17,5
1,5,6
1,3,1
1,6,7
1,8,6
1,3,5
1,9,4
1,12,3
1,7,4
1,8,4
1,1,4
1,16,2
1,20,2
1,16,2
1,19,4
1,18,1
1,9,7
1,1,4
1,3,1
1,7,1
1,5,2
1,16,7
1,1,5
1,10,4
1,6,7
1,1,4
1,8,7
1,2,2
1,17,2
1,6,6
1,14,2
1,6,5
1,1,3
1,17,5
1,19,7
1,14,7
1,6,7
1,20,7
1,15,5
1,3,6
1,14,4
1,20,2
1,4,4
1,4,7
1,12,1
1,7,1
1,16,6
1,10,5
1,6,5
1,20,5
1,11,2
1,13,5
1,14,4
1,19,3
1,10,2
1,13,5
1,2,1
1,19,1
1,17,6
1,13,4
1,1,2
1,9,3
1,14,5
1,2,1
1,5,5
1,2,2
1,3,4
1,5,3
1,6,7
1,6,6
1,20,2
1,6,5
1,12,6
1,2,7
1,20,2
1,20,3
1,15,1
1,13,4
1,14,1
1,6,1
1,11,6
1,7,2
1,15,3
1,16,1
1,3,2
1,4,6
1,16,7
1,11,5
1,4,5
1,9,1
1,3,2
1,2,1
1,16,5
1,19,4
1,13,5
