Report Date,Borough,Community District,Census Type,Adult Family Commercial Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Commercial Hotel,Family Cluster,Family with Children Commercial Hotel,Family with Children Shelter
6/30/20,Queens,5,Individuals,,,100,,,,
6/30/20,Queens,6,Individuals,,,,,,,
6/30/20,Queens,7,Individuals,,,192,,,121,
6/30/20,Queens,8,Individuals,,,,,,,317
6/30/20,Queens,10,Individuals,380,,56,96,,343,
6/30/20,Queens,11,Individuals,,,,,,,
6/30/20,Queens,12,Individuals,,279,164,1347,,,1358
6/30/20,Queens,13,Individuals,,,,559,,203,741
6/30/20,Queens,14,Individuals,,317,,189,,187,162
6/30/20,Staten Island,1,Individuals,,,,,,,120
6/30/20,Staten Island,2,Individuals,,,,,,,
6/30/20,Staten Island,3,Individuals,,,,,,,
7/31/20,Bronx,1,Individuals,,183,80,,32,68,1220
7/31/20,Bronx,2,Individuals,,188,0,,211,,717
7/31/20,Bronx,3,Individuals,,260,235,,85,277,1377
7/31/20,Bronx,4,Individuals,,,206,100,1040,,2049
7/31/20,Bronx,5,Individuals,,213,0,,838,,1054
7/31/20,Bronx,6,Individuals,,86,47,71,203,,1976
7/31/20,Bronx,7,Individuals,,101,100,,247,,273
7/31/20,Bronx,8,Individuals,,,,,,,249
7/31/20,Bronx,9,Individuals,,,0,,232,,660
7/31/20,Bronx,10,Individuals,,,,,,,594
7/31/20,Bronx,11,Individuals,,,,,,,
7/31/20,Bronx,12,Individuals,,,73,140,,,280
7/31/20,Brooklyn,1,Individuals,,154,318,218,,97,
7/31/20,Brooklyn,2,Individuals,,116,103,200,,,64
7/31/20,Brooklyn,3,Individuals,,,31,101,198,188,460
7/31/20,Brooklyn,4,Individuals,,,92,285,53,,809
7/31/20,Brooklyn,5,Individuals,,,437,378,,206,270
7/31/20,Brooklyn,6,Individuals,,113,52,427,,,155
7/31/20,Brooklyn,7,Individuals,,,184,468,,245,
7/31/20,Brooklyn,8,Individuals,,,211,88,,,449
7/31/20,Brooklyn,9,Individuals,,,112,,,,420
7/31/20,Brooklyn,10,Individuals,,,,,,,
7/31/20,Brooklyn,11,Individuals,,,,,,,
7/31/20,Brooklyn,12,Individuals,,,,99,,,132
7/31/20,Brooklyn,13,Individuals,,,,,,116,
7/31/20,Brooklyn,14,Individuals,,,,,,,89
7/31/20,Brooklyn,15,Individuals,,,,,,,199
7/31/20,Brooklyn,16,Individuals,,,282,248,,248,2397
7/31/20,Brooklyn,17,Individuals,,,,136,,,669
7/31/20,Brooklyn,18,Individuals,,360,,,,,792
7/31/20,Manhattan,1,Individuals,,,,165,,126,
7/31/20,Manhattan,2,Individuals,,,,192,,,
7/31/20,Manhattan,3,Individuals,,,195,541,15,177,328
7/31/20,Manhattan,4,Individuals,,,,1456,,430,
7/31/20,Manhattan,5,Individuals,,299,,1804,,1748,325
7/31/20,Manhattan,6,Individuals,,,510,516,,,
7/31/20,Manhattan,7,Individuals,,204,137,661,,,585
7/31/20,Manhattan,8,Individuals,,,39,306,,,
7/31/20,Manhattan,9,Individuals,,,,,,,669
7/31/20,Manhattan,10,Individuals,,,256,,,,805
7/31/20,Manhattan,11,Individuals,,,709,,,,582
7/31/20,Manhattan,12,Individuals,,,212,,,109,
7/31/20,Queens,1,Individuals,,,,1016,,185,372
7/31/20,Queens,2,Individuals,,285,,109,,442,206
7/31/20,Queens,3,Individuals,,,50,238,,,763
7/31/20,Queens,4,Individuals,,,,165,,88,501
7/31/20,Queens,5,Individuals,,,90,,,,
7/31/20,Queens,6,Individuals,,,,,,,
7/31/20,Queens,7,Individuals,,,101,198,,129,
7/31/20,Queens,8,Individuals,,,,,,,320
7/31/20,Queens,9,Individuals,,,,,,,
7/31/20,Queens,10,Individuals,369,,160,51,,319,
7/31/20,Queens,11,Individuals,,,,,,,
7/31/20,Queens,12,Individuals,,260,154,1234,,,1376
7/31/20,Queens,13,Individuals,,,,556,,192,735
7/31/20,Queens,14,Individuals,,305,,191,,177,158
7/31/20,Staten Island,1,Individuals,,,,,,,100
7/31/20,Staten Island,2,Individuals,,,,,,,
7/31/20,Staten Island,3,Individuals,,,,,,,
8/31/20,Bronx,1,Individuals,,190,83,,33,68,1224
8/31/20,Bronx,2,Individuals,,170,,,207,,741
8/31/20,Bronx,3,Individuals,,269,221,66,81,127,1372
8/31/20,Bronx,4,Individuals,,,208,100,962,,2064
8/31/20,Bronx,5,Individuals,,213,,,795,,1066
8/31/20,Bronx,6,Individuals,,72,44,71,200,,1951
8/31/20,Bronx,7,Individuals,,105,93,,252,,271
8/31/20,Bronx,8,Individuals,,,,,,,237
8/31/20,Bronx,9,Individuals,,,,,231,,667
8/31/20,Bronx,10,Individuals,,,,,,,590
8/31/20,Bronx,11,Individuals,,,,,,,
8/31/20,Bronx,12,Individuals,,,71,141,,,283
8/31/20,Brooklyn,1,Individuals,,159,329,222,,97,
8/31/20,Brooklyn,2,Individuals,,76,104,297,,,70
8/31/20,Brooklyn,3,Individuals,,,31,103,128,206,468
8/31/20,Brooklyn,4,Individuals,,,99,285,61,,785
8/31/20,Brooklyn,5,Individuals,,,440,382,,92,281
8/31/20,Brooklyn,6,Individuals,,110,51,429,,,183
8/31/20,Brooklyn,7,Individuals,,,188,455,,122,
8/31/20,Brooklyn,8,Individuals,,,222,90,,,439
8/31/20,Brooklyn,9,Individuals,,,112,,,,432
8/31/20,Brooklyn,10,Individuals,,,,,,,
8/31/20,Brooklyn,11,Individuals,,,,,,,
8/31/20,Brooklyn,12,Individuals,,,0,102,,,136
8/31/20,Brooklyn,13,Individuals,,,,,,120,
8/31/20,Brooklyn,14,Individuals,,,,,,,93
8/31/20,Brooklyn,15,Individuals,,,,,,,200
8/31/20,Brooklyn,16,Individuals,,,142,396,,261,2408
8/31/20,Brooklyn,17,Individuals,,,,136,,,645
8/31/20,Brooklyn,18,Individuals,,356,,,,,803
8/31/20,Manhattan,1,Individuals,,,,245,,116,
8/31/20,Manhattan,2,Individuals,,,,196,,,
8/31/20,Manhattan,3,Individuals,,,147,540,20,195,323
8/31/20,Manhattan,4,Individuals,,,0,1340,,487,
8/31/20,Manhattan,5,Individuals,,307,,1786,,1753,331
8/31/20,Manhattan,6,Individuals,,,521,526,,,
8/31/20,Manhattan,7,Individuals,,204,134,688,,,570
8/31/20,Manhattan,8,Individuals,,,38,305,,,
8/31/20,Manhattan,9,Individuals,,,,,,,649
8/31/20,Manhattan,10,Individuals,,,290,,,,774
8/31/20,Manhattan,11,Individuals,,,745,,,,588
8/31/20,Manhattan,12,Individuals,,,224,,,115,
8/31/20,Queens,1,Individuals,,,,1013,,206,355
8/31/20,Queens,2,Individuals,,277,,109,,447,220
8/31/20,Queens,3,Individuals,,,,367,,,701
8/31/20,Queens,4,Individuals,,,,166,,92,507
8/31/20,Queens,5,Individuals,,,99,,,,
8/31/20,Queens,6,Individuals,,,,,,,
8/31/20,Queens,7,Individuals,,,101,199,,120,
8/31/20,Queens,8,Individuals,,,,,,,315
8/31/20,Queens,9,Individuals,,,0,,,,
8/31/20,Queens,10,Individuals,355,,167,55,,321,
8/31/20,Queens,11,Individuals,,,,,,,
8/31/20,Queens,12,Individuals,,256,151,1093,,,1319
8/31/20,Queens,13,Individuals,,,,606,,194,797
8/31/20,Queens,14,Individuals,,287,0,195,,169,168
8/31/20,Staten Island,1,Individuals,,,,,,,101
8/31/20,Staten Island,2,Individuals,,,,,,,
8/31/20,Staten Island,3,Individuals,,,,,,,
9/30/20,Bronx,1,Individuals,,183,180,,33,62,1228
9/30/20,Bronx,2,Individuals,,176,,,200,,839
9/30/20,Bronx,3,Individuals,,257,220,116,82,125,1326
9/30/20,Bronx,4,Individuals,,,206,100,919,,2109
9/30/20,Bronx,5,Individuals,,207,,,782,,1064
9/30/20,Bronx,6,Individuals,,66,40,,192,,1894
9/30/20,Bronx,7,Individuals,,101,101,,254,,260
9/30/20,Bronx,8,Individuals,,,,,,,232
9/30/20,Bronx,9,Individuals,,,,,208,,703
9/30/20,Bronx,10,Individuals,,,,,,,580
9/30/20,Bronx,11,Individuals,,,,,,,
9/30/20,Bronx,12,Individuals,,,73,137,,,278
9/30/20,Brooklyn,1,Individuals,,151,320,206,,98,
9/30/20,Brooklyn,2,Individuals,,76,101,296,,,66
9/30/20,Brooklyn,3,Individuals,,,30,102,124,226,476
9/30/20,Brooklyn,4,Individuals,,,100,286,50,,815
9/30/20,Brooklyn,5,Individuals,,,454,363,,95,273
9/30/20,Brooklyn,6,Individuals,,107,49,420,,,269
9/30/20,Brooklyn,7,Individuals,,,188,590,,,
9/30/20,Brooklyn,8,Individuals,,,206,85,,,435
9/30/20,Brooklyn,9,Individuals,,,112,,,,422
9/30/20,Brooklyn,10,Individuals,,,,,,,
9/30/20,Brooklyn,11,Individuals,,,,,,,
9/30/20,Brooklyn,12,Individuals,,,,102,,,142
9/30/20,Brooklyn,13,Individuals,,,,,,121,
9/30/20,Brooklyn,14,Individuals,,,,,,,87
9/30/20,Brooklyn,15,Individuals,,,,,,,189
9/30/20,Brooklyn,16,Individuals,,,142,404,,265,2342
9/30/20,Brooklyn,17,Individuals,,,,133,,,639
9/30/20,Brooklyn,18,Individuals,,348,,,,,763
9/30/20,Manhattan,1,Individuals,,,,174,,91,
9/30/20,Manhattan,2,Individuals,,,,154,,,
9/30/20,Manhattan,3,Individuals,,,148,540,20,186,322
9/30/20,Manhattan,4,Individuals,,,,1342,,521,
9/30/20,Manhattan,5,Individuals,,273,,1786,,1733,323
9/30/20,Manhattan,6,Individuals,,,537,511,,,
9/30/20,Manhattan,7,Individuals,,206,135,662,,,573
9/30/20,Manhattan,8,Individuals,,,41,306,,,
9/30/20,Manhattan,9,Individuals,,,,,,,661
9/30/20,Manhattan,10,Individuals,,,339,,,,733
9/30/20,Manhattan,11,Individuals,,,748,,,,553
9/30/20,Manhattan,12,Individuals,,,225,,,114,
9/30/20,Queens,1,Individuals,,,,1005,,204,347
9/30/20,Queens,2,Individuals,,284,,109,,417,195
9/30/20,Queens,3,Individuals,,,,367,,,684
9/30/20,Queens,4,Individuals,,,,158,,90,521
9/30/20,Queens,5,Individuals,,,98,,,,
9/30/20,Queens,6,Individuals,,,,,,,
9/30/20,Queens,7,Individuals,,,100,198,,128,
9/30/20,Queens,8,Individuals,,,,,,,321
9/30/20,Queens,9,Individuals,,,,,,,
9/30/20,Queens,10,Individuals,344,,164,59,,321,
9/30/20,Queens,11,Individuals,,,,,,,
9/30/20,Queens,12,Individuals,,249,160,1093,,,1362
9/30/20,Queens,13,Individuals,,,,591,,162,776
9/30/20,Queens,14,Individuals,,289,,186,,145,155
9/30/20,Staten Island,1,Individuals,,,,,,,103
9/30/20,Staten Island,2,Individuals,,,,,,,
9/30/20,Staten Island,3,Individuals,,,,,,,
8/31/22,Bronx,1,Individuals,,,476,172,,261,1145
8/31/22,Bronx,2,Individuals,,152,,,,,905
8/31/22,Bronx,3,Individuals,,,660,121,,,1335
8/31/22,Bronx,4,Individuals,,,407,,,164,2218
8/31/22,Bronx,5,Individuals,,196,590,,,,1335
8/31/22,Bronx,6,Individuals,,,43,,,235,2080
8/31/22,Bronx,7,Individuals,,,547,,,,477
8/31/22,Bronx,8,Individuals,,,,,,,230
8/31/22,Bronx,9,Individuals,,,260,,,,1200
8/31/22,Bronx,10,Individuals,,,,,,,587
8/31/22,Bronx,11,Individuals,,,,,,,
8/31/22,Bronx,12,Individuals,,,304,,,,169
8/31/22,Brooklyn,1,Individuals,,156,923,39,,243,
8/31/22,Brooklyn,2,Individuals,,228,335,,,,80
8/31/22,Brooklyn,3,Individuals,,,550,,,240,467
8/31/22,Brooklyn,4,Individuals,,,285,131,,,837
8/31/22,Brooklyn,5,Individuals,,,654,246,,,539
8/31/22,Brooklyn,6,Individuals,,103,280,278,,,547
8/31/22,Brooklyn,7,Individuals,,,266,523,,,376
8/31/22,Brooklyn,8,Individuals,,,434,87,,,432
8/31/22,Brooklyn,9,Individuals,,,293,,,,426
8/31/22,Brooklyn,10,Individuals,,,,,,,
8/31/22,Brooklyn,11,Individuals,,,,,,,
8/31/22,Brooklyn,12,Individuals,,,127,,,,146
8/31/22,Brooklyn,13,Individuals,,,,50,,,460
8/31/22,Brooklyn,14,Individuals,,,115,,,,87
8/31/22,Brooklyn,15,Individuals,,,,,,,196
8/31/22,Brooklyn,16,Individuals,,,604,521,,,2364
8/31/22,Brooklyn,17,Individuals,,,,,,,1111
8/31/22,Brooklyn,18,Individuals,,351,,,,,587
8/31/22,Manhattan,1,Individuals,,,,,,,
8/31/22,Manhattan,2,Individuals,,,,,,,
8/31/22,Manhattan,3,Individuals,,,423,229,,,329
8/31/22,Manhattan,4,Individuals,,,350,109,,749,
8/31/22,Manhattan,5,Individuals,,297,76,55,,,356
8/31/22,Manhattan,6,Individuals,,,787,,,290,
8/31/22,Manhattan,7,Individuals,,187,65,,,204,592
8/31/22,Manhattan,8,Individuals,,,36,,,,
8/31/22,Manhattan,9,Individuals,,,,,,,762
8/31/22,Manhattan,10,Individuals,,,595,,,,674
8/31/22,Manhattan,11,Individuals,,,1201,,,,581
8/31/22,Manhattan,12,Individuals,,,320,,,,
8/31/22,Queens,1,Individuals,,,187,136,,992,365
8/31/22,Queens,2,Individuals,,310,,178,,,311
8/31/22,Queens,3,Individuals,,228,,171,,401,856
8/31/22,Queens,4,Individuals,,,,243,,,552
8/31/22,Queens,5,Individuals,,,198,,,,294
8/31/22,Queens,6,Individuals,,,,,,,
8/31/22,Queens,7,Individuals,,,313,,,,
8/31/22,Queens,8,Individuals,,,,,,,301
8/31/22,Queens,9,Individuals,,,110,,,,
8/31/22,Queens,10,Individuals,,,171,73,,215,
8/31/22,Queens,11,Individuals,,,,,,,
8/31/22,Queens,12,Individuals,,291,281,126,,220,1477
8/31/22,Queens,13,Individuals,,,63,544,,,845
8/31/22,Queens,14,Individuals,,318,98,95,,,173
8/31/22,Staten Island,1,Individuals,,,,,,,149
8/31/22,Staten Island,2,Individuals,,,,,,,
8/31/22,Staten Island,3,Individuals,,,,,,,
9/30/22,Bronx,1,Individuals,,,513,191,,292,1148
9/30/22,Bronx,2,Individuals,,168,,,,,885
9/30/22,Bronx,3,Individuals,,,681,123,,,1310
9/30/22,Bronx,4,Individuals,,,423,,,164,2196
9/30/22,Bronx,5,Individuals,,200,669,,,,1364
9/30/22,Bronx,6,Individuals,,,47,,,487,2038
9/30/22,Bronx,7,Individuals,,,604,,,,481
9/30/22,Bronx,8,Individuals,,,,,,,232
9/30/22,Bronx,9,Individuals,,,262,,,128,1191
9/30/22,Bronx,10,Individuals,,,,,,,572
9/30/22,Bronx,11,Individuals,,,,,,,
9/30/22,Bronx,12,Individuals,,,304,,,285,169
9/30/22,Brooklyn,1,Individuals,,175,1069,47,,230,
9/30/22,Brooklyn,2,Individuals,,210,359,,,,72
9/30/22,Brooklyn,3,Individuals,169,,564,193,,250,472
9/30/22,Brooklyn,4,Individuals,,,188,135,,,848
9/30/22,Brooklyn,5,Individuals,,,822,246,,,532
9/30/22,Brooklyn,6,Individuals,,107,290,279,,,563
9/30/22,Brooklyn,7,Individuals,,,272,556,,180,372
9/30/22,Brooklyn,8,Individuals,,,408,90,,,416
9/30/22,Brooklyn,9,Individuals,,,338,,,,428
9/30/22,Brooklyn,10,Individuals,,,,,,,
9/30/22,Brooklyn,11,Individuals,,,,,,,
9/30/22,Brooklyn,12,Individuals,,,130,,,,144
9/30/22,Brooklyn,13,Individuals,,,,76,,,461
9/30/22,Brooklyn,14,Individuals,,,184,,,,80
9/30/22,Brooklyn,15,Individuals,,,,,,,199
9/30/22,Brooklyn,16,Individuals,,,626,543,,119,2412
9/30/22,Brooklyn,17,Individuals,,,,,,,1117
9/30/22,Brooklyn,18,Individuals,,355,,,,204,595
9/30/22,Manhattan,1,Individuals,,,,,,,
9/30/22,Manhattan,2,Individuals,,,,,,,
9/30/22,Manhattan,3,Individuals,,,453,224,,,313
9/30/22,Manhattan,4,Individuals,,,356,126,,707,
9/30/22,Manhattan,5,Individuals,,297,79,53,,704,363
9/30/22,Manhattan,6,Individuals,,,913,,,230,
9/30/22,Manhattan,7,Individuals,,199,71,,,289,597
9/30/22,Manhattan,8,Individuals,,,38,,,,
9/30/22,Manhattan,9,Individuals,,,7,,,,761
9/30/22,Manhattan,10,Individuals,,,605,,,,675
9/30/22,Manhattan,11,Individuals,,,1231,,,,577
9/30/22,Manhattan,12,Individuals,,,276,,,64,
9/30/22,Queens,1,Individuals,,,193,137,,1499,367
9/30/22,Queens,2,Individuals,,314,,296,,202,320
9/30/22,Queens,3,Individuals,,264,,170,,991,838
9/30/22,Queens,4,Individuals,,,,240,,,558
9/30/22,Queens,5,Individuals,,,190,,,,289
9/30/22,Queens,6,Individuals,,,,,,,
9/30/22,Queens,7,Individuals,,,303,,,,
9/30/22,Queens,8,Individuals,,,,,,,303
9/30/22,Queens,9,Individuals,,,113,,,,
9/30/22,Queens,10,Individuals,,,167,91,,334,
9/30/22,Queens,11,Individuals,,,,,,,
9/30/22,Queens,12,Individuals,146,300,271,138,,1351,1482
9/30/22,Queens,13,Individuals,,,126,861,,,862
9/30/22,Queens,14,Individuals,,327,101,95,,,166
9/30/22,Staten Island,1,Individuals,,,,,,,143
9/30/22,Staten Island,2,Individuals,,,,,,,
9/30/22,Staten Island,3,Individuals,,,,,,,
10/31/22,Bronx,1,Individuals,,,605,186,,286,1152
10/31/22,Bronx,2,Individuals,,164,,,,,876
10/31/22,Bronx,3,Individuals,,,675,121,,,1325
10/31/22,Bronx,4,Individuals,,,376,,,173,2220
10/31/22,Bronx,5,Individuals,,201,674,,,,1346
10/31/22,Bronx,6,Individuals,,,52,,,719,2003
10/31/22,Bronx,7,Individuals,,,610,,,,455
10/31/22,Bronx,8,Individuals,,,,,,,225
10/31/22,Bronx,9,Individuals,,,265,,,134,1185
10/31/22,Bronx,10,Individuals,,,,,,,583
10/31/22,Bronx,11,Individuals,,,,,,,
10/31/22,Bronx,12,Individuals,,,307,,,280,210
10/31/22,Brooklyn,1,Individuals,,177,1098,46,,223,
10/31/22,Brooklyn,2,Individuals,,215,505,,,,77
10/31/22,Brooklyn,3,Individuals,167,,572,196,,242,474
10/31/22,Brooklyn,4,Individuals,,,191,134,,,826
10/31/22,Brooklyn,5,Individuals,,,810,337,,,510
10/31/22,Brooklyn,6,Individuals,,111,285,275,,,597
10/31/22,Brooklyn,7,Individuals,,,270,562,,212,372
10/31/22,Brooklyn,8,Individuals,,,423,89,,,434
10/31/22,Brooklyn,9,Individuals,,,335,,,,431
10/31/22,Brooklyn,10,Individuals,,,,,,,
10/31/22,Brooklyn,11,Individuals,,,,,,,
10/31/22,Brooklyn,12,Individuals,,,124,,,,142
10/31/22,Brooklyn,13,Individuals,,,,70,,,445
10/31/22,Brooklyn,14,Individuals,,,184,,,,87
10/31/22,Brooklyn,15,Individuals,,,87,,,,191
10/31/22,Brooklyn,16,Individuals,,,590,556,,128,2423
10/31/22,Brooklyn,17,Individuals,,,,,,172,1137
10/31/22,Brooklyn,18,Individuals,,355,,,,220,589
10/31/22,Manhattan,1,Individuals,,,,,,,
10/31/22,Manhattan,2,Individuals,,,,,,,
10/31/22,Manhattan,3,Individuals,,,506,232,,,334
10/31/22,Manhattan,4,Individuals,,,371,118,,728,154
10/31/22,Manhattan,5,Individuals,,315,78,52,,1599,356
10/31/22,Manhattan,6,Individuals,,,916,,,281,
10/31/22,Manhattan,7,Individuals,,204,74,,,289,576
10/31/22,Manhattan,8,Individuals,,,40,,,,
10/31/22,Manhattan,9,Individuals,,,21,,,,740
10/31/22,Manhattan,10,Individuals,,,626,,,,705
10/31/22,Manhattan,11,Individuals,,,1189,,,,587
10/31/22,Manhattan,12,Individuals,,,308,,,109,
10/31/22,Queens,1,Individuals,,,194,140,,1514,369
10/31/22,Queens,2,Individuals,,308,,294,,203,303
10/31/22,Queens,3,Individuals,,272,,171,,1039,843
10/31/22,Queens,4,Individuals,,,,248,,,564
10/31/22,Queens,5,Individuals,,,196,,,,292
10/31/22,Queens,6,Individuals,,,,,,,
10/31/22,Queens,7,Individuals,,,316,,,,
10/31/22,Queens,8,Individuals,,,,,,,299
10/31/22,Queens,9,Individuals,,,109,,,,
10/31/22,Queens,10,Individuals,,,172,84,,345,
10/31/22,Queens,11,Individuals,,,,,,,
10/31/22,Queens,12,Individuals,246,295,464,285,,1529,1456
10/31/22,Queens,13,Individuals,,,135,903,,,839
10/31/22,Queens,14,Individuals,,317,103,85,,,165
10/31/22,Staten Island,1,Individuals,,,,,,,133
10/31/22,Staten Island,2,Individuals,,,,,,543,
10/31/22,Staten Island,3,Individuals,,,,,,,
11/30/22,Bronx,1,Individuals,,,613,193,,275,1154
11/30/22,Bronx,2,Individuals,,165,,,,,883
11/30/22,Bronx,3,Individuals,,,682,123,,,1351
11/30/22,Bronx,4,Individuals,,,419,,,173,2188
11/30/22,Bronx,5,Individuals,,209,682,,,,1347
11/30/22,Bronx,6,Individuals,,,55,,,804,1978
11/30/22,Bronx,7,Individuals,,,606,,,,457
11/30/22,Bronx,8,Individuals,,,,,,,225
11/30/22,Bronx,9,Individuals,,,259,,,119,1191
11/30/22,Bronx,10,Individuals,,,,,,,577
11/30/22,Bronx,11,Individuals,,,,,,,
11/30/22,Bronx,12,Individuals,,,302,,,279,339
11/30/22,Brooklyn,1,Individuals,,165,1061,48,,233,
11/30/22,Brooklyn,2,Individuals,,213,501,,,,95
11/30/22,Brooklyn,3,Individuals,166,,557,201,,236,451
11/30/22,Brooklyn,4,Individuals,45,,184,127,,,1469
11/30/22,Brooklyn,5,Individuals,,,873,397,,,534
11/30/22,Brooklyn,6,Individuals,,112,293,279,,,585
11/30/22,Brooklyn,7,Individuals,,,272,570,,201,374
11/30/22,Brooklyn,8,Individuals,,,371,88,,,498
11/30/22,Brooklyn,9,Individuals,,,342,,,,417
11/30/22,Brooklyn,10,Individuals,,,,,,,
11/30/22,Brooklyn,11,Individuals,,,,,,,
11/30/22,Brooklyn,12,Individuals,,,124,,,,146
11/30/22,Brooklyn,13,Individuals,,,,74,,,454
11/30/22,Brooklyn,14,Individuals,,,184,,,,87
11/30/22,Brooklyn,15,Individuals,,,100,,,,203
11/30/22,Brooklyn,16,Individuals,101,,556,569,,164,2007
11/30/22,Brooklyn,17,Individuals,,,,,,166,716
11/30/22,Brooklyn,18,Individuals,,404,,,,233,589
11/30/22,Manhattan,1,Individuals,,,,,,,
11/30/22,Manhattan,2,Individuals,,,,,,,
11/30/22,Manhattan,3,Individuals,,,501,235,,,328
11/30/22,Manhattan,4,Individuals,,,379,118,,1025,201
11/30/22,Manhattan,5,Individuals,,292,79,52,,1555,361
11/30/22,Manhattan,6,Individuals,,,896,,,281,
11/30/22,Manhattan,7,Individuals,,193,80,,,266,569
11/30/22,Manhattan,8,Individuals,,,37,,,,
11/30/22,Manhattan,9,Individuals,,,21,,,,751
11/30/22,Manhattan,10,Individuals,,,616,,,,719
11/30/22,Manhattan,11,Individuals,,,1071,,,,580
11/30/22,Manhattan,12,Individuals,,,340,,,101,
11/30/22,Queens,1,Individuals,,41,191,136,,1539,358
11/30/22,Queens,2,Individuals,,227,,307,,200,301
11/30/22,Queens,3,Individuals,,270,,169,,1043,834
11/30/22,Queens,4,Individuals,,,,245,,,537
11/30/22,Queens,5,Individuals,,,199,,,,280
11/30/22,Queens,6,Individuals,,,,,,,
11/30/22,Queens,7,Individuals,,,306,,,,
11/30/22,Queens,8,Individuals,,,,,,,307
11/30/22,Queens,9,Individuals,,,111,,,,
11/30/22,Queens,10,Individuals,,,170,95,,348,
11/30/22,Queens,11,Individuals,,,,,,,
11/30/22,Queens,12,Individuals,327,298,464,274,,1720,1431
11/30/22,Queens,13,Individuals,,,134,892,,,849
11/30/22,Queens,14,Individuals,,307,107,84,,,164
11/30/22,Staten Island,1,Individuals,,,,,,,140
11/30/22,Staten Island,2,Individuals,,,,,,540,
11/30/22,Staten Island,3,Individuals,,,,,,,
12/31/22,Bronx,1,Individuals,,,617,183,,287,1137
12/31/22,Bronx,2,Individuals,,157,,,,,861
12/31/22,Bronx,3,Individuals,,,634,127,,,1307
12/31/22,Bronx,4,Individuals,,,416,56,,174,2220
12/31/22,Bronx,5,Individuals,,197,676,,,,1324
12/31/22,Bronx,6,Individuals,,,45,,,805,2015
12/31/22,Bronx,7,Individuals,,,611,,,,460
12/31/22,Bronx,8,Individuals,,,,,,,228
12/31/22,Bronx,9,Individuals,,,256,,,113,1186
12/31/22,Bronx,10,Individuals,,,,,,,577
12/31/22,Bronx,11,Individuals,,,,,,,
12/31/22,Bronx,12,Individuals,,,294,,,289,353
12/31/22,Brooklyn,1,Individuals,,161,1011,46,,238,
12/31/22,Brooklyn,2,Individuals,,223,501,,,,73
12/31/22,Brooklyn,3,Individuals,166,,550,198,,239,458
12/31/22,Brooklyn,4,Individuals,99,,197,130,,,841
12/31/22,Brooklyn,5,Individuals,49,,884,441,,,523
12/31/22,Brooklyn,6,Individuals,,99,263,279,,,565
12/31/22,Brooklyn,7,Individuals,,,266,557,,208,381
12/31/22,Brooklyn,8,Individuals,,,383,88,,,419
12/31/22,Brooklyn,9,Individuals,,,344,,,,420
12/31/22,Brooklyn,10,Individuals,,,,,,,
12/31/22,Brooklyn,11,Individuals,,,,,,,
12/31/22,Brooklyn,12,Individuals,,,125,,,,143
12/31/22,Brooklyn,13,Individuals,,,,73,,,455
12/31/22,Brooklyn,14,Individuals,,,184,,,,87
12/31/22,Brooklyn,15,Individuals,,,104,,,,192
12/31/22,Brooklyn,16,Individuals,110,,627,548,,344,2430
12/31/22,Brooklyn,17,Individuals,,,,,,198,1129
12/31/22,Brooklyn,18,Individuals,,340,,,,229,733
12/31/22,Manhattan,1,Individuals,,,,,,,
12/31/22,Manhattan,2,Individuals,,,,,,160,
12/31/22,Manhattan,3,Individuals,,,499,232,,,320
12/31/22,Manhattan,4,Individuals,160,,372,125,,1120,296
12/31/22,Manhattan,5,Individuals,,319,76,52,,2017,350
12/31/22,Manhattan,6,Individuals,,,826,,,288,
12/31/22,Manhattan,7,Individuals,,196,76,3,,553,570
12/31/22,Manhattan,8,Individuals,,,38,,,,
12/31/22,Manhattan,9,Individuals,,,26,,,,733
12/31/22,Manhattan,10,Individuals,,,602,,,,700
12/31/22,Manhattan,11,Individuals,,,963,,,,574
12/31/22,Manhattan,12,Individuals,,,389,,,92,
12/31/22,Queens,1,Individuals,,149,194,136,,1733,356
12/31/22,Queens,2,Individuals,,241,,293,,200,305
12/31/22,Queens,3,Individuals,,262,,171,,1078,841
12/31/22,Queens,4,Individuals,,,,249,,,550
12/31/22,Queens,5,Individuals,,,200,,,,278
12/31/22,Queens,6,Individuals,,,,,,,
12/31/22,Queens,7,Individuals,,,284,,,,
12/31/22,Queens,8,Individuals,,,,,,,313
12/31/22,Queens,9,Individuals,,,102,,,,
12/31/22,Queens,10,Individuals,,,174,80,,344,
12/31/22,Queens,11,Individuals,,,,,,,
12/31/22,Queens,12,Individuals,450,296,453,367,,1963,1413
12/31/22,Queens,13,Individuals,,,133,859,,,841
12/31/22,Queens,14,Individuals,,313,103,82,,,177
12/31/22,Staten Island,1,Individuals,,,,,,,114
12/31/22,Staten Island,2,Individuals,,,,,,554,
12/31/22,Staten Island,3,Individuals,,,,,,,
1/31/23,Bronx,1,Individuals,,,622,183,,288,1122
1/31/23,Bronx,2,Individuals,,177,,,,,854
1/31/23,Bronx,3,Individuals,,,719,124,,,1289
1/31/23,Bronx,4,Individuals,,,416,113,,164,2238
1/31/23,Bronx,5,Individuals,,207,686,,,,1326
1/31/23,Bronx,6,Individuals,86,,57,,,811,2057
1/31/23,Bronx,7,Individuals,,,606,,,,450
1/31/23,Bronx,8,Individuals,,,,,,,222
